ext_id,card_title,description,rating,source,deck
1,Academic,"Academic This card's sole use is as a stepping stone to the minor improvements that
require 3 or 4 occupations, and is fine (but not spectacular) in that narrow
role. At best he is saving you 1F1A to just play another Occ. Usually, the
benefit will be less than that due to the fact that playing 2 different occs
would give you at least some sort of beneficial effect.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,G (I-K)
2,Acrobat,"Acrobat The ability to occasionally get a free plow along with your two or three food
is usually too strong to pass up. The card would be playable if this was all it
did, but the fact that you can also go for a grain if the plow space gets
blocked pushes the card even further. This is a very solid play that will act
like a Seasonal Worker early and get you 2 or 3 food to go with your plows
later. A tad unreliable but extremely powerful; this is the best 'claim' card.",4,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,B (E-G)
3,Adoptive Parents,"Adoptive Parents User Hammerite argues that the card is playable, saying that it gives you 2
actions for the cost of 4 food. He explains: if !supportLineBreakNewLine endif",1,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,H (K-E)
4,Alms,"Alms Alms This card can be a bit awkward to play with, as a
lot of the time you're going to have an early game occupation that you'll want
to play instead. However, if you don't have anything that you need to play
immediately, this is usually a great play. There's no need to wait forever - if
you fire it out Round 4, 3 food and starting player is already a good deal.
Best of all, unlike other pass cards, this will usually never see play after
you use it, because the player to your left will most likely have already played
an occ. As you pass the card, be sure to sigh dramatically. 'I guess I
have to give you guys this awesome card now...' I'm sure your opponents will appreciate the humor.",3,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
5,Alternative Designer," Mostly a combo card. Without a combo, only really useful for late-game fencing in low wood games. With some imagination, can be part of some very silly cheap-room combos. ",1,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,E (C)
6,Animal Breeder,"Animal Breeder Can be simply absurd. This card is useful whether you choose to go the baking
or ranching route, assuming you can pay him the requisite food. If you are a baker, use this late game, then fence twice to get yourself a pair
of boar and cattle. If you fence twice and then let your cattle breed twice and
your boar breed once, this Occ has traded 6 food (1 + 2 + 3) and an action for
7 VPs. Ridiculous. If you're a rancher, careful wood and food grabs can get you two cows before
the second harvest. Equally sick, especially in combination with minors like Ox
Team or Milking Stool. Don't be afraid to fence a single pasture with this guy.",4,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
7,Animal Dealer,"Animal Dealer If you choose to just eat the extra animals immediately, this is going to be a
6 food play if you only take every animal once - almost worth it, but not quite
given that the food is given over time. However, this guy is much stronger than that. He lets you be the first person
to get 2 of an animal, which is especially important if an animal card comes up
the turn before a harvest. He also allows you to spam the animal spots for
food, denying other players from getting the animals they need. Superb.",4,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,C (E-K)
8,Animal Farmer, Nice card to have in your hand. With a bit of work it can be a nice 5-point play in Round 14. Animal Farmer is better than some similar cards in EIK like Estate Manager or Organic Farmer. ,3,https://boardgamegeek.com/thread/604332/stategic-review-new-g-deck-occupations,B (K)
9,Animal Feed,"Animal Feed Animal Feed This can be worth 1 or 2 VPs, and it's free, so
don't forget about it. However, getting even 1 VP out of it might be tricky,
because you'll have to have adequate room, 4 planted fields, and exactly the
right numbers of animals for this to work. Usually this ends up staying in my
hand, just because of the sheer awkwardness involved in getting it to give you
anything.",2,https://boardgamegeek.com/thread/458895/card-card-full-review-improvements-agricola-v105,I (K) - E (C)
10,Animal Handler,"Animal Handler The best use for this guy is to play him as a baker that never takes animals
for the entire game. The sheep can fit in your house, and the boar and cattle
can go into stables/pastures that you build later. If you do that, you've spent
1F1A for 6 points - a pretty sweet deal. However, this best case scenario only applies when you choose to take no
animals for the entire game. This is a huge opportunity cost: it gives everyone
else free reign of the animals. Moreover, housing the cattle is usually an
awkward proposition. He comes at the beginning of round 14, before 'renovation
also fences' (aka the baker's best friend). This means that you have to either
build a second stable or build pastures. If you're building pastures, you're
probably going to want to take some animals for breeding, which in turn cuts
down on this Occ's benefit. Finally, you're required to play him at the
beginning of the game, when actions are most important. If you plan on breeding and eating animals, this guy has very little utility. The
animals just come too late. Moreover, if you already have two cow, the next cow
is worth about one half of a point. If you have 2 sheep, the next sheep is
worth about a third of a point. In a situation where you are going to grab
every animal anyway, this guy will only be worth about a point - a terrible
deal.",2,https://boardgamegeek.com/thread/436563/card-card-full-review-occupations-agricola-v111,D (E-K)
